Rank,Name,Designation,Institution,City,Country,H-Index,Citations,Q1 Papers,Top Conf Papers,Research Overlap /30,Publication Quality /35,Collab Fit /15,Location /20,Total Score /100,Top Relevant Papers,OpenAlex Profile
1,Arvind Ayyer,Full Professor,,,,12,503,33,16,30,35,8,5,78,"On the Two Species Asymmetric Exclusion Process with Semi-Pe (Journal of Statistical Physics, 2009, 44 cites) | The Number of [Old-Time] Basketball Games with Final Score $ (The Electronic Journal of Comb, 2007, 41 cites) | Recursive structures in the multispecies TASEP (Journal of Physics A Mathemati, 2011, 27 cites)",https://openalex.org/A5028829574
2,Amol Aggarwal,Full Professor,,,,10,330,25,4,27,33,8,5,73,"Current fluctuations of the stationary ASEP and six-vertex m (Duke Mathematical Journal, 2018, 77 cites) | Bulk universality for generalized Wigner matrices with few m (Probability Theory and Related, 2018, 26 cites) | Armstrong’s conjecture for <mml:math xmlns:mml=""http://www.w (European Journal of Combinator, 2015, 22 cites)",https://openalex.org/A5016887361
3,Alexei Borodin,Full Professor,,,,44,6688,45,3,15,31,8,5,59,"Asymptotics of Plancherel measures for symmetric groups (Journal of the American Mathem, 2000, 435 cites) | Macdonald processes (Probability Theory and Related, 2013, 344 cites) | Fluctuation Properties of the TASEP with Periodic Initial Co (Journal of Statistical Physics, 2007, 269 cites)",https://openalex.org/A5059587630
4,Adam Sheffer,Full Professor,,,,13,560,20,12,7,35,8,5,55,"Counting Triangulations of Planar Point Sets (The Electronic Journal of Comb, 2011, 66 cites) | Bounds on the Maximum Multiplicity of Some Common Geometric  (SIAM Journal on Discrete Mathe, 2013, 39 cites) | Counting plane graphs: Perfect matchings, spanning cycles, a (Journal of Combinatorial Theor, 2013, 35 cites)",https://openalex.org/A5038764657
5,Christian Gaetz,Associate Professor,,,,4,97,27,7,9,29,12,5,55,"K-Knuth Equivalence for Increasing Tableaux (The Electronic Journal of Comb, 2016, 16 cites) | Separable elements and splittings of Weyl groups (Advances in Mathematics, 2020, 12 cites) | A combinatorial duality between the weak and strong Bruhat o (Journal of Combinatorial Theor, 2019, 5 cites)",https://openalex.org/A5084975853
6,Claudia Malvenuto,Full Professor,,,,10,658,13,9,7,35,8,5,55,"Duality between Quasi-Symmetrical Functions and the Solomon  (Journal of Algebra, 1995, 338 cites) | Stable sets of maximal size in Kneser-type graphs (European Journal of Combinator, 2003, 123 cites) | A self paired Hopf algebra on double posets and a Littlewood (Journal of Combinatorial Theor, 2011, 29 cites)",https://openalex.org/A5024657656
7,Alice C. Niemeyer,Full Professor,,,,13,756,26,6,5,35,8,5,53,"Generating random elements of a finite group (Communications in Algebra, 1995, 149 cites) | A Recognition Algorithm For Classical Groups Over Finite Fie (Proceedings of the London Math, 1998, 70 cites) | A black-box group algorithm for recognizing finite symmetric (Transactions of the American M, 2003, 36 cites)",https://openalex.org/A5050998707
8,Casey Tompkins,Full Professor,,,,13,594,43,30,4,35,8,5,52,"The Existence of Minimal Surfaces of General Critical Types (Annals of Mathematics, 1939, 52 cites) | Isometric embedding of flat manifolds in Euclidean space (Duke Mathematical Journal, 1939, 40 cites) | An Erdős–Gallai type theorem for uniform hypergraphs (European Journal of Combinator, 2017, 40 cites)",https://openalex.org/A5018137609
9,Anton Izosimov,Associate Professor,,,,7,150,12,0,10,22,12,5,49,"Pentagram maps and refactorization in Poisson-Lie groups (Advances in Mathematics, 2022, 17 cites) | Dimers, networks, and cluster integrable systems (Geometric and Functional Analy, 2022, 10 cites) | Polygon recutting as a cluster integrable system (Selecta Mathematica, 2023, 10 cites)",https://openalex.org/A5054674786
10,Alexandre Stauffer,Full Professor,,,,16,681,20,4,1,33,8,5,47,"Mobile geometric graphs: detection, coverage and percolation (Probability Theory and Related, 2012, 43 cites) | Random walks on dynamical percolation: mixing times, mean sq (Probability Theory and Related, 2014, 36 cites) | Characterizing optimal sampling of binary contingency tables (Random Structures and Algorith, 2012, 16 cites)",https://openalex.org/A5013068717
11,Antonio Blanca,Full Professor,,,,10,332,12,4,1,33,8,5,47,"Random-cluster dynamics in $${{\mathrm{\mathbb {Z}}}}^2$$ (Probability Theory and Related, 2016, 22 cites) | Sampling in Uniqueness from the Potts and Random-Cluster Mod (SIAM Journal on Discrete Mathe, 2020, 17 cites) | On Universal Cycles for new Classes of Combinatorial Structu (SIAM Journal on Discrete Mathe, 2011, 15 cites)",https://openalex.org/A5008395399
12,Bérénice Delcroix-Oger,Associate Professor,,,,3,31,10,8,2,28,12,5,47,"Decorated hypertrees (Journal of Combinatorial Theor, 2013, 7 cites) | Action of the symmetric groups on the homology of the hypert (Journal of Algebraic Combinato, 2013, 6 cites) | Semi-pointed partition posets (Discrete Mathematics & Theoret, 2015, 3 cites)",https://openalex.org/A5032803010
13,Afshin Behmaram,Associate Professor,,,,5,89,2,6,4,19,12,5,40,"Graphs determined by signless Laplacian spectra (AKCE International Journal of , 2018, 15 cites) | On the spectral determinations of the connected multicone gr (AKCE International Journal of , 2018, 6 cites) | Isomorphisms of bi-Cayley graphs on Dihedral groups (Discrete Mathematics Algorithm, 2020, 2 cites)",https://openalex.org/A5015281110
14,Akshat Mudgal,Assistant Professor,,,,3,28,8,0,1,18,15,5,39,"Diameter‐free estimates for the quadratic Vinogradov mean va (Proceedings of the London Math, 2022, 7 cites) | Additive energies on spheres (Journal of the London Mathemat, 2022, 4 cites) | Unbounded expansion of polynomials and products (Mathematische Annalen, 2023, 3 cites)",https://openalex.org/A5029142792
15,Ahcene Ghandriche,Assistant Professor,,,,5,59,5,0,3,15,15,5,38,"The electromagnetic waves generated by a cluster of nanopart (Journal of the London Mathemat, 2023, 12 cites) | Simultaneous Reconstruction of Optical and Acoustical Proper (SIAM Journal on Applied Mathem, 2023, 8 cites) | Estimation of the eigenvalues and the integral of the eigenf (Proceedings of the American Ma, 2024, 1 cites)",https://openalex.org/A5056897147
16,Alexander Seidel,Full Professor,,,,23,1601,3,0,9,16,8,5,38,"The impossibility of exactly flat non-trivial Chern bands in (Journal of Physics A Mathemati, 2014, 83 cites) | Pfaffian Statistics through Adiabatic Transport in the 1D Co (Physical Review Letters, 2008, 33 cites) | Topological quantum many-body scars in quantum dimer models  (Physical review. B./Physical r, 2021, 32 cites)",https://openalex.org/A5103057282
17,Artan Sheshmani,Full Professor,,,,8,244,12,0,1,23,8,5,37,"Donaldson–Thomas invariants of 2-dimensional sheaves inside  (Advances in Mathematics, 2017, 16 cites) | Non-Holomorphic Cycles and Non-BPS Black Branes (Communications in Mathematical, 2022, 15 cites) | Counting curves on surfaces in Calabi–Yau 3-folds (Mathematische Annalen, 2014, 11 cites)",https://openalex.org/A5049918322
